paper,page,line_idx,text
paper1,1,23,withcomputervisionandnaturallanguageprocessingtechniquesintowebprogramconditions.(Step2)Tocreatetheintendedweb
paper1,1,29,"programstoperformrepetitiveyetessentialtasks,suchasdata utilizingvisualandtextualconditions."
paper1,1,30,"scrapinganddataentry.However,existingwebautomationsys-"
paper1,1,32,temslackmechanismsfordefiningconditionalbehaviorswhere
paper1,1,44,"USA.ACM,NewYork,NY,USA,16pages.https://doi.org/10.1145/3526113."
paper1,1,45,astheprogramcontinuouslyexecutesorreclaimmanualcontrol 3545691
paper1,1,49,"forprofitorcommercialadvantageandthatcopiesbearthisnoticeandthefullcitation Enterprises, governments, and schools often use web-based ap-"
paper1,1,59,"https://doi.org/10.1145/3526113.3545691 (e.g.,dataduplicates,missedentries),whichcancauseinefficiencies."
paper1,2,3,"andrecurringtasksandhasproventobefasterandmoreaccurate inasentence(Fig.1.c),indicatetheirareaofinterestbybrushing"
paper1,2,5,Pastresearchhasdevelopedtechniquestohelpusersofallex- SemanticOnusessimilarity-basedcomputervisionandnaturallan-
paper1,2,9,"syntaxorstructurallevel(e.g.,scrapingthefirsttwoitemsineach usingWebRobot,includingimagedownloading(Fig.1.d)andtext"
paper1,2,10,"rowofatable).Toolscapableofcreatinglogicbasedonthemean- scraping(Fig.1.e).(Step3)Oncetheprogramisexecuted,users"
paper1,2,13,toperformrecord-and-replayinteractionsforwebautomationand Fig.1.h)orreclaimcontroltomanuallyaddorremovedataifthe
paper1,2,16,experiencetocreatecomplexprogramsthatcanhandlehierarchical interactionsforwebautomationprograms.
paper1,2,18,multiplewebsites. SemanticOn’soverallusabilityandefficiencyandtocomparethe
paper1,2,39,basedsemanticconditionspecificationforwebautomationpro- end-userprogrammingwithafocusonwebautomationcreation.
paper1,2,49,continuouslyadd/refinesemanticconditionsinaprogramming-by- andeffectivenessinhelpingusersspecifysemanticcondi-
paper1,2,51,"bRobot[24],aprogramsynthesissystemthatenablesuserstocreate"
paper1,2,55,requiresonlywebinteractionsinplaceofprogrammingknowledge SemanticOn builds on decades of web automation systems and
paper1,3,1,"2.1 WebAutomation domain,mostnotablyCoScripter[42],Vegemite[48],Rousillon[15],"
paper1,3,5,"UI testers, and clerks all use web automation to help complete and-replayfunctionality;usersrecordthemselvesinteractingwith"
paper1,3,9,"automatedbrowsertestingprogramtohelpdevelopersfindfront- functioncomposition,thesesystemsrequireuserstohavelogic"
paper1,3,16,structure)andprogrammingexperience.Commonlyusedtoolslike coordinatewithPBDsystemsbysmoothlyswitchingagencyand
paper1,3,43,"helpful,outputsproducedwiththesetoolsarehardtogeneralize expressedthroughnaturallanguageorlimitedexamplesonly,lead-"
paper1,3,44,tonewUIsorcontexts. ingtoinformationlossduringcommunicationandrenderingthe
paper1,3,49,"asdatawrangling[29,30,34]anddatavisualization[52,72].Many"
paper1,3,54,"includingtextmanipulation[13,39,54,60,75],imageorvideoedit- tomoreaccuratelyandquicklysearchcodepatternsinlargecode-"
paper1,4,6,constraintsbasedonthecontent. willseethedataappendedtotheoutputpanel(Fig.2.d).Behind
paper1,4,9,"MLapproachallowsuserstoofferfeedbackduringthemodeltrain- strations,WebRobotsynthesizesaprogramP fromthetraceAof"
paper1,4,17,sented[10].SoftwaredevelopedbyFogartyetal.helpsusersto
paper1,4,24,P0:=a1;··;am;
paper1,4,31,6:
paper1,4,33,"bRobot[24],thatonlyuseswebinteractionsandrequiresnopro- 7: W :=W ∪W′;"
paper1,4,39,thedesigngoalsforoursystemSemanticOn.
paper1,4,41,"a Inanutshell,WebRobot’ssynthesisalgorithm(Algorithm1)gen-"
paper1,4,52,"checkstoseewhetherP generalizesA;ifso,P isaddedtoP(cid:101)(line"
paper1,4,54,"5).Afterthis,inline6,thealgorithmtriestorewriteP intomore"
paper1,4,58,Figure2:AscreenshotoftheWebRobotsystemUI.
paper1,4,60,"correspondtoP,andfinallysynthesizesprogramswithonemore"
paper1,5,1,canberewrittenanditfinallyreturnsthesmallestprograminP(cid:101) architectureandmainuserinteractionsatahighlevel.Insteadof
paper1,5,5,"In WebRobot’s user study, participants reported that while We- toscrape(Step1Fig.3),thendemonstrateactionsonthetarget"
paper1,5,8,"oftasks,theywishedthattheycouldexpressconditionstofilterthe process,userscancommunicatewithSemanticOn,whichiscapable"
paper1,5,10,"scraping[canbeincluded],notbasedonwhethertheelementexists TheusersandSemanticOnworktogethertorefinethecondition"
paper1,5,24,"Basedonthispriorwork,wedevisedthefollowingthreedesign"
paper1,5,29,"lookateachpicture,andmanuallycopyandpastetherelevantin-"
paper1,5,43,programthatcompletesthetaskforher.
paper1,5,51,(Fig.6.c).Shebelievesthissentenceislikelysemanticallysimilar
paper1,5,52,"1. Specify conditions 2. Demonstrate to the relevant content in this article. After clicking “Add”, the"
paper1,5,57,"usesSystemSuggests,clicksonanidealimage,andhighlightsthe"
paper1,5,59,Semantic filters Synthesized program severalobjectsandsummarizestheimagecontentintoasentence.
paper1,5,60,Miaalsoaddstherelevantobjectsandcaptiontothecorresponding
paper1,5,61,"tables(Fig.4.f,g)intheconditionpanel."
paper1,5,70,4 SEMANTICON
paper1,6,1,a i
paper1,6,3,j
paper1,6,10,m
paper1,6,23,"tionwillnotbetriggered,asweassumeuserswillonlydemonstrate condition“alakebeneaththemountainrange”.Miaconfirmsthis"
paper1,6,29,textualconditiontoinclude.Shealsodiscovers“pettravel” asakey
paper1,6,30,"phrase.MiawouldlovetotakeherdogSushionthetrip,soshealso"
paper1,6,31,"selectsthatkeyphrase.Aftersheclicks“Finish,”thosetwophrases"
paper1,6,33,consideredaccepted.
paper1,6,40,"programtofinish.However,shenoticesthatforonedestination,"
paper1,7,0,Both image and text
paper1,7,1,Detailed highlight on Only image
paper1,7,8,User Enters for
paper1,7,17,"Miapausestheautomationprocess(Fig.4.i,7.b).Shethenmanually analyzeandprovidesuggestedconditions(Fig.4.d).Uponselecting"
paper1,7,28,clicks“Resume”tocontinuetheautomation.Theprogramiterates mouse(Fig.6.a)toillustrate.Theimageisfedthroughanoff-the-
paper1,7,32,"JSONfile.MiausesSemanticOntocreateatailoredwebautomation andgeneratesacaptionfortheentireimage.Fortexts,theuser"
paper1,7,49,"(Fig.4.c).Theusercanchooseoneofthetwomethodsofspecifica- setsinitialconditions,theycanstartthedemonstrationprocessby"
paper1,8,1,a Incorrect Image
paper1,8,6,a
paper1,8,8,downloaded
paper1,8,10,by deleting unwanted
paper1,8,13,scraping missed content
paper1,8,14,c
paper1,8,19,"Figure7:SemanticOnErrorRepairWorkflow.Auserwantstodownloadcutepicturesofacatandadogcuddling,buttheynoticea"
paper1,8,20,"photooftwocatsisbeingscrapedbymistake○a.Theuserpausesthesystem○b.Then,theusercanedittheconditiondescription,delete"
paper1,8,31,"ofwebmacrosandgeneratesanautomationprogramtorepeatit. inwhichcasetheconditionsetremainsunchanged,andthenew"
paper1,8,43,"and0.4,respectively,basedonourbenchmarktesting.Anewtextis SemanticOncontinuouslyexecutesthepredictedwebmacrosand"
paper1,8,45,whencomparedwithspecifiedtextconditions.WeusedaSentence- accordingly.Thisisdonebyaddingaconditionevaluationstep
paper1,8,52,andseeifanypairresultsinahighsimilarityscore. anddisplaytheMLprocessingresultsforthatcontent.Theusercan
paper1,8,61,"Inthesemi-automationmode,ifnewtextorimagecontentmatches astheyalwayshavethepowertoreclaimmanualcontrol,repair"
paper1,9,1,"systemmistakes,andclarifytheirintents.Notethatduringpause, onlineforums,twobasedonimage-heavywebsites(petwallpa-"
paper1,9,4,bothimageandtextcontent(beautifulplacesintheworld7).Par-
paper1,9,5,ticipantsneededtoextractonlyimagesoronlytextcontentfor
paper1,9,13,"fromthewebsitebasedonasemanticcondition.Forthefinaltask,"
paper1,9,33,"Similartothepostedtasksinonlineforums,thedescriptionswere"
paper1,9,46,ashortsurveywithLikertscaleandshort-answerquestionswhen
paper1,9,48,theyexited.Theparticipantswerecompensated$25fortheirtime.
paper1,9,49,inaccuracyanddurationacrossimageandtexttasks.
paper1,9,53,susSystemSuggests.Theaveragedurationwas06:22forUserEnters
paper1,9,54,studyisapprovedbytheIRBatourinstitution.
paper1,9,57,"forSystemSuggeststasks.Again,thedifferencesareunabletobe"
paper1,9,67,1) the web content to be scraped should be realistic and easily ticipantsbelievedtheirspecifiedconditionsweredisplayedinan
paper1,9,73,"5MovieStars,https://tinyurl.com/zsnkne5r"
paper1,9,74,"demonstratethesystem’sfullcapabilities.Toachievethisgoal,we 6BestRomanceNovels,https://tinyurl.com/mryjs47h"
paper1,10,13,"Question LikertScale(Mean,SD)"
paper1,10,18,hadpolarizedopinionsonthestatement“itwaseasytocoordinate SystemSuggestsEaseofUse 5.7(0.8)
paper1,10,19,"(claimcontrols,pause/resume,show/hideprompts)withSemanticOn CoordinationtoRefineSpecifications 4.7(1.6)"
paper1,10,25,"Tasks1-4,andallparticipantsutilizedthesystempromptsinsemi-"
paper1,10,28,"5.4.3 Error-handling Analysis. As per DG3, SemanticOn offers"
paper1,10,33,"ditiondeletion,resultdeletion,andmanualresultaddition.Most"
paper1,10,34,"usersoptedtousethepauseandrepairfunctionalities,as7par- Table2:SurveyResponses.Forsectionone(top),1isverynega-"
paper1,10,39,"thetasktype.Forconditiondeletion,wefound16instancesacross"
paper1,10,45,AIsysteminthesurvey.Participantsgenerallyreportedmedium
paper1,10,53,"1(verydemanding,veryhard,notsuccessful)to7(notdemanding,"
paper1,10,56,deletioninstancesforUserEntersand9forSystemSuggests.This
paper1,10,57,"mentaldemand(mean=4.6,SD=1.8)andmediumeffort(mean="
