paper,page,line_idx,text,label,confidence
paper1,1,2,Web Automation Programs,KEEP,medium
paper1,1,4,jpu@dgp.toronto.edu rainey.fu@mail.utoronto.ca ruidong@umich.edu,SKIP,high
paper1,1,7,xwangasd@umich.edu yanchen@dgp.toronto.edu tovi@dgp.toronto.edu,SKIP,high
paper1,1,10,Conditions,SKIP,medium
paper1,1,11,a f,SKIP,medium
paper1,1,12,b,SKIP,medium
paper1,1,13,e,SKIP,medium
paper1,1,14,Output data,SKIP,medium
paper1,1,15,d,SKIP,medium
paper1,1,16,g,SKIP,medium
paper1,1,17,c h,SKIP,medium
paper1,1,18,prompt ???,SKIP,medium
paper1,1,19,56%,SKIP,medium
paper1,1,21,Figure1:TheworkflowofSemanticOn.Therearethreestepstocreatingawebautomationprogramwithsemanticconditionsusing,SKIP,high
paper1,1,32,KEYWORDS,SKIP,medium
paper1,1,36,"onentityrelationships).WeintroduceSemanticOn,asystemthat ACMReferenceFormat:",SKIP,medium
paper1,1,41,AutomationPrograms.InThe35thAnnualACMSymposiumonUserInterface,SKIP,medium
paper1,1,45,"USA.ACM,NewYork,NY,USA,16pages.https://doi.org/10.1145/3526113.",SKIP,high
paper1,1,51,onthefirstpage.CopyrightsforcomponentsofthisworkownedbyothersthanACM plications to manage their businesses and services. Other than,SKIP,high
paper1,1,55,fee.Requestpermissionsfrompermissions@acm.org. researchersoftenemploythesewebplatformstoconducttasksthat,SKIP,high
paper1,1,57,©2022AssociationforComputingMachinery.,SKIP,high
paper1,1,59,ACMISBN978-1-4503-9320-1/22/10...$15.00,SKIP,medium
paper1,1,60,"https://doi.org/10.1145/3526113.3545691 (e.g.,dataduplicates,missedentries),whichcancauseinefficiencies.",SKIP,high
paper1,2,54,2 RELATEDWORK,SKIP,medium
paper1,3,2,"2.1 WebAutomation domain,mostnotablyCoScripter[42],Vegemite[48],Rousillon[15],",SKIP,high
paper1,3,3,Web automation is a software technique that leverages bots to andiMacros[2].,KEEP,low
paper1,3,6,"UI testers, and clerks all use web automation to help complete and-replayfunctionality;usersrecordthemselvesinteractingwith",KEEP,low
paper1,3,7,"their domain-specific tasks [40, 43, 49, 69]. Social scientists, for thebrowser—clicking,enteringtext,andnavigatingbetweenpages—",SKIP,medium
paper1,3,18,"Puppeteer [4], Selenium [6], Scrapy [5], and Beautiful Soup [1] editingconstraintsatanytimeduringprogramexecution.",SKIP,high
paper1,3,29,"addition,theprogrammightnotgeneralizetocross-webpagese- forsystemstocomprehend.Manysystemshaveproposedbridg-",SKIP,medium
paper1,3,59,"browserinternalsormanuallyreverse-engineertargetpages.The (augmentedexamples)todisambiguateuserintent[66,78].Orthey",SKIP,medium
paper1,4,24,1:,SKIP,medium
paper1,4,25,P0:=a1;··;am;,SKIP,medium
paper1,4,32,6:,SKIP,medium
paper1,4,33,W′:=Rewrite(P);,SKIP,medium
paper1,4,54,d,SKIP,medium
paper1,4,59,Figure2:AscreenshotoftheWebRobotsystemUI.,SKIP,high
paper1,5,29,semanticconditions.,SKIP,medium
paper1,5,53,"1. Specify conditions 2. Demonstrate to the relevant content in this article. After clicking “Add”, the",KEEP,medium
paper1,5,65,program,SKIP,medium
paper1,5,68,Figure3:SemanticOn’ssystemarchitecture.,SKIP,high
paper1,5,71,4 SEMANTICON,SKIP,medium
paper1,6,2,a i,SKIP,medium
paper1,6,3,b,SKIP,medium
paper1,6,4,j,SKIP,medium
paper1,6,5,c,SKIP,medium
paper1,6,6,d k,SKIP,medium
paper1,6,7,e,SKIP,medium
paper1,6,8,f,SKIP,medium
paper1,6,9,l,SKIP,medium
paper1,6,10,g,SKIP,medium
paper1,6,11,m,SKIP,medium
paper1,6,12,h,SKIP,medium
paper1,6,13,Figure4:OverviewofSemanticOn’suserinterface.TheuserbeginsprogramsynthesisbyclickingStartRecording○a.Theusercan,SKIP,high
paper1,6,34,consideredaccepted.,SKIP,medium
paper1,6,39,Figure5:Exampleofsystempromptwhennewcontentdoes icallypredictandfiltertherestofthewebpagecontentwithout,SKIP,high
paper1,7,5,system results,SKIP,medium
paper1,7,6,System Suggests,SKIP,medium
paper1,7,7,a,SKIP,medium
paper1,7,8,for image,SKIP,medium
paper1,7,11,c,SKIP,medium
paper1,7,13,for text,SKIP,medium
paper1,7,14,"Figure6:TwoconditionspecificationmethodsinSemanticOn.Afterenteringthesystemsuggestsmode,theusermaydrawonimages.",SKIP,high
paper1,8,3,C,SKIP,medium
paper1,8,4,d e,SKIP,medium
paper1,8,6,g,SKIP,medium
paper1,8,7,a,SKIP,medium
paper1,8,8,Wrong image,SKIP,medium
paper1,8,9,downloaded,SKIP,medium
paper1,8,13,d,SKIP,medium
paper1,8,15,c,SKIP,medium
paper1,8,19,automation,SKIP,medium
paper1,8,20,"Figure7:SemanticOnErrorRepairWorkflow.Auserwantstodownloadcutepicturesofacatandadogcuddling,buttheynoticea",SKIP,high
paper1,9,7,5 SYSTEMEVALUATION,SKIP,medium
paper1,9,15,5.1 Participants,SKIP,medium
paper1,9,27,5.2 StudyDesign,SKIP,medium
paper1,9,59,5.3 Tasks,SKIP,medium
paper1,10,3,Taskindex Accuracy,SKIP,medium
paper1,10,6,1 05:06(01:43) 85.3%,SKIP,medium
paper1,10,8,2 06:58(02:28) 68.9%,SKIP,medium
paper1,10,10,3 06:44(01:50) 81.3%,SKIP,medium
paper1,10,12,4 05:56(01:50) 86.0%,SKIP,medium
paper1,12,13,6.3.1 Perceivedeffortbasedoncontenttypes. Perceivedeffortplays,KEEP,medium
paper1,13,38,"cessed:April,2022.",SKIP,medium
paper1,13,42,6.6 FutureWork,SKIP,medium
